managingagency,projectid,description,citycost,noncitycost,totalcost
40,SCA17,SCA17,2816639000,439959000,3256598000
40,SCA23,SCA23,2165569000,0,2165569000
40,SCA24,SCA24,1603119000,562450000,2165569000
40,SCA22,SCA22,2165569000,0,2165569000
40,SCA20,SCA20,2165569000,0,2165569000
40,SCA21,SCA21,1421489000,744080000,2165569000
856,ONE-NYC,ONE NYC - ENERGY EFFICIENCY FUNDING,1963935000,0,1963935000
806,SRLCLIP,SRO LOANS PROGRAM - VACANT BUILDINGS REHAB,1358170000,268916000,1627086000
826,KENS-EAST,KENSICO-EASTVIEW CONNECTION TUNNEL,1278000000,0,1278000000
819,SANDNEW,MISC CORPORATE-WIDE RECONSTRUCTION AS A RESULT OF SANDY,1183000,1209664000,1210847000
806,HAM16MRVR,ROOF WORK TO PREVENT MOLD AT VARIOUS DEVELOPMENTS,1200001000,0,1200001000
40,SCA25,SCA25,1174000000,0,1174000000
40,SCA26,SCA26,1174000000,0,1174000000
40,SCA27,SCA27,1174000000,0,1174000000
72,C11421STC,NEW JAIL FACILITIES,1065627000,0,1065627000
856,CO264MISC,VARIOUS COURT FACILITIES- REHABILITATION,1017159000,0,1017159000
841,HW34907,IN-HOUSE RESURFACING - CREWS&OTHER NON-ASPHALT OTPS,947475000,0,947475000
826,CS-GC-SFS,CONSTRUCTION OF GOWANUS CSO RETENTION FAC SUPERFUND SITE,771300000,0,771300000
826,SE-EMRNGY,"EMERGENCY CONTRACTS FOR SEWERS, CITYWIDE",759247000,0,759247000
826,C540,Completion of CT3 Stage 2 B/Q Leg & Bklyn Downtake Inte,756362000,0,756362000
826,LTCP2015,CITY-WIDE LONG TERM CONTROL PLAN FOR CSO ABATEMENT,739800000,0,739800000
841,HBKBQE,Rehabilitation of BQE (I-278) from Sands St. to Atlantic Ave,738887000,0,738887000
111,CITYTECH,Technology Upgrade,722844000,0,722844000
801,INFRANEIG,Neighborhood Fund,630821000,0,630821000
819,HOPROJCTS,MISCELLANEOUS CONSTRUCTION PROJECTS AND EQUIPMENT PURCHASES,570658000,0,570658000
841,HW349LUM,IN-HOUSE RESURFACING LUMP SUM - ASPHALT,490366000,22405000,512771000
801,INFRAHOUS,Housing Fund,505772000,0,505772000
826,CAT-213,ASHOKAN RESERVOIR/OLIVE BRIDGE DAM & UPPER/LOWER OUTLET&,494239000,0,494239000
841,HWPL20006,PRIOR NOTICE SIDEWALK(SIM),375248000,116407000,491655000
826,SEQCB1213,SEWER BUILD-OUT FOR S.E. QUEENS,472000000,0,472000000
841,HWPRREHAB,Pedestrian Ramps Rehabilitation - Lump Sum,470439000,0,470439000
56,PO005PROP,NEW PROPERTY CLERK FACILITY,435000000,0,435000000
841,HBMA26724,Trans-Manhattan Expressway BIN 2267240,429583000,0,429583000
819,HO410AMB2,PROCURE AND OUTFIT FDNY EMS AMBULANCES,423804000,3456000,427260000
806,MFPRES,Multi-Family Preservation,416319000,0,416319000
841,HBC10YR20,BRIDGE 10 YEAR PLAN FY 2020,398433000,0,398433000
841,BRC231F,QUEENSBORO BRIDGE #10 OVER EAST RIVER,394653000,0,394653000
998,TRACK95,IFA TRACKWORK,385000000,0,385000000
826,NR-STRUCT,STRUCTURAL IMPROVEMENTS AT NORTH RIVER WPCP,376000000,0,376000000
841,HBX1148B,SHORE ROAD BRIDGE / HUTCHINSON RIVER 2-240200,152103000,205000000,357103000
841,HBKBQE,Rehabilitation of BQE (I-278) from Sands St. to Atlantic Av,346167000,6799000,352966000
841,BRCHAZMIG,HAZARD MITIGATION (EAST RIVER BRIDGES - CITYWIDE),334994000,0,334994000
826,REZONING,"EXPANSION FOR RE-ZONING, CITYWIDE",328995000,0,328995000
841,SANDRF05,Construction of New Ferryboats,139829000,188081000,327910000
841,HBMA23216,Promenade over FDR E81st - 90th St Bin 2232167,312992000,0,312992000
841,BRC253D,WILLIAMSBURG BRIDGE MISC REPAIRS AND PAINTING FY20,308000000,0,308000000
806,SHRRENAIS,SHRB - Renaissance,300000000,0,300000000
111,PU16PROJ1,CITYWIDE EDP PROJECTS - Out-Year Planning,297026000,0,297026000
826,IN-CITYWM,Agency-Proposed Projects,292635000,0,292635000
841,HBX1131,BRUCKNER EXP / WESTCHESTER CREEK 1-066510,124967000,164200000,289167000
826,WM-EMRNGY,"EMERGENCY CONTRACTS FOR WATER MAINS, CITYWIDE",286782000,0,286782000
806,ELLA18,Extremely Low & Low Income Affordability Program - ELLA FY18,281510000,0,281510000
841,BR10YR15,Waterway Bridges Ten Year Plan,279698000,0,279698000
841,BRC270D,BROOKLYN BRIDGE REHABILITATION OF APPOACH ARCHES FY19,279040000,0,279040000
56,PO79ROD,NEW FIREARMS TRAINING FACILITY,274630000,0,274630000
