budgetline,fmsnumber,managingagency,projectid,description,costdescription,citycost,noncitycost,plancommdate
,,,,,SAGE,"",500,0,500
AG-DN100,125 A06,801,AGD SHAN,"FA - CPC Nan Shan Center Expansion",CONS,"",503,0,06/20
AG-DN145,125 A11,801,AGDELMCOR,"Elmcor Youth and Adult Activities",CONS,"SITE DEV. AND OFFSITE INF",510,0,06/20
AG-DN169,125 A13,125,AGD-GLENR,"Glenridge Senior Center",EQFN,"",118,0,06/17
AG-DN184,125 A14,850,AGDNHHOME,"The Hebrew Home for the Aged At Riverdale",EQFN,"",1065,0,06/18
AG-DN184,125 A14,850,AGDNRIVER,"The Hebrew Home for the Aged at Riverdale - I/O",EQFN,"",192,0,06/17
AG-DN184,125 A14,850,AGDN10SEC,"Hebrew Home for the Aged at Riverdale - SECURITY UPGRAD",EQFN,"",513,0,06/17
AG-DN184,125 A14,850,AGDN10SEC,"Hebrew Home for the Aged at Riverdale - SECURITY UPGRAD",EQFN,"",500,0,06/18
AG-DN184,125 A14,850,HEBREW,"Hebrew Home for the Aged at Riverdale Weinberg Center Van",EQVH,"",17,0,06/20
AG-DN184,125 A14,850,HLDNHEBEQ,"Hebrew Home for the Aged at Riverdale Equipment",EQFN,"",84,0,06/18
AG-DN216,125 A20,850,AGDJCCCON,"JCC of Greater Coney Island Senior Center Computer System",EQFN,"",39,0,06/17
AG-DN216,125 A20,850,AGDNJEWSH,"Jewish Community Council of Greater Coney Island - I.O",EQFN,"",80,0,06/17
AG-DN216,125 A20,850,AGPWDJCC,"JCC of Coney Island Computers",EQFN,"",331,0,06/17
AG-DN216,125 A20,850,AGPWDJCC,"JCC of Coney Island Computers",IFSP,"",8,0,06/17
AG-DN235,125 A21,801,AGD-LENOX,"Lenox Hill Neighborhood Association",CONS,"",1100,0,06/19
AG-DN235,125 A21,801,AGD-LENOX,"Lenox Hill Neighborhood Association",CONS,"",1321,0,06/19
AG-DN235,125 A21,801,AGD-LENOX,"Lenox Hill Neighborhood Association",CONS,"",518,0,06/19
AG-DN235,125 A21,801,AGD-LENOX,"Lenox Hill Neighborhood Association",CONS,"",657,0,06/17
AG-DN235,125 A21,801,LENOX,"FA - Lenox Hill Neighborhood House 13-162818-U8500",CONS,"SITE DEV. AND OFFSITE INF",217,0,06/17
AG-DN235,125 A21,801,LENOXCTR,"FA - Lenox Hill - The Center, 343 E70th St",CONS,"SITE DEV. AND OFFSITE INF",17,0,06/17
AG-DN262,125 A22,850,AGDNMETRA,"METROPOLITAN COUNCIL ON JEWISH POVERTY - INITIAL OUTFITTING",EQFN,"",2097,0,06/18
AG-DN262,125 A22,850,AGDNMETRC,"METROPOLITAN COUNCIL ON JEWISH POVERTY - TRACKING SYSTEM",EQFN,"",257,0,06/19
AG-DN262,125 A22,850,AGDNMETRO,"METROPOLITAN COUNCIL ON JEWISH POVERTY - VEHICLE PURCHASE",EQVH,"",282,0,06/17
AG-DN262,125 A22,850,AGDNMETRY,"METROPOLITAN COUNCIL ON JEWISH POVERTY - IT INFRASTRUCTURE",EQFN,"",164,0,06/17
AG-DN262,125 A22,850,AGDNMETRY,"METROPOLITAN COUNCIL ON JEWISH POVERTY - IT INFRASTRUCTURE",EQFN,"",810,0,06/18
AG-DN334,125 A27,125,AGPRESVEH,"Presbyterian City Island purchase of a handicapped mini bus",EQFN,"",50,0,06/17
AG-DN380,125 A26,125,AGSNAPVEH,"Service for Now Adult Person, Inc. 2 Vehicles",EQFN,"",126,0,06/17
AG-DN380,125 A26,801,AGDSNAP2,"Services Now for Adult Persons (SNAP) Adjustment to cover",CONS,"SITE DEV. AND OFFSITE INF",112,0,06/17
AG-DN380,125 A26,801,AGDSNAP3,"SERVICES NOW FOR ADULT PERSONS INC.",CONS,"SITE DEV. AND OFFSITE INF",513,0,06/17
AG-DN380,125 A26,850,AGSNAPBP,"SNAP Building Project",CONS,"",118,0,06/17
AG-DN410,125 A18,801,AGDSAGE,"FA - Sage Senior Center",CONS,"",73,0,06/20
AG-DN494,125 A01,850,AGDNPARKE,"Parker Jewish Institute for Health Care & Rehab",EQFN,"",137,0,06/17
AG-DN494,125 A01,850,AGDNPARKE,"Parker Jewish Institute for Health Care & Rehab",IFSP,"",3,0,06/17
AG-DN494,125 A01,850,PARKER,"Parker Jewish Institute, Queens",CONS,"GENERAL",500,0,06/19
AG-DN593,125 A28,801,AGDSUNNY,"Sunnyside Community Services - Renovation",CONS,"SITE DEV. AND OFFSITE INF",2587,0,06/17
AG-DN658,125 A31,125,AGHAMVEH,"Hamilton Madison Transportation Vehicles",EQFN,"",54,0,06/17
AG-DN770,125 A34,125,AGRIVERVE,"Riverside Senior Service Transporation Bus",EQFN,"",4,0,06/17
AG-DN797,125 A36,801,AGDISABEL,"Isabella Geriatric Center - Assembly and telecommunications",CONS,"SITE DEV. AND OFFSITE INF",19,0,06/17
AG-DN797,125 A36,801,AGDISABE2,"Isabella Geriatric Center - WHSTCH Audio-Visual",CONS,"SITE DEV. AND OFFSITE INF",184,0,06/17
AG-DN798,125 A37,850,AGDNSERVC,"SERVICE PROGRAM FOR OLDER PEOPLE INC - TECHNOLOGY SUPPORT",IFSP,"",4,0,06/17
AG-DN837,125 A38,125,AGDAMICO,"AMICO Senior Center Computer Upgrade",EQFN,"",50,0,06/17
AG-DN865,125 A46,801,AGDCSBA,"CONSELYEA STREET BLOCK ASSOCIATION",CONS,"SITE DEV. AND OFFSITE INF",3000,0,06/17
AG-DN865,125 A46,801,AGDCSBA,"CONSELYEA STREET BLOCK ASSOCIATION",CONS,"SITE DEV. AND OFFSITE INF",500,0,07/17
AG-DN895,125 A42,850,AGDNJACOB,"Jacob A. Riis Neighborhood Settlement - Vehicle Purchas",EQVH,"",65,0,06/17
AG-DN932,125 A44,801,ABDWOOD,"WOODSTOCK HDFC FOR SENIOR CITIZENS",CONS,"SITE DEV. AND OFFSITE INF",513,0,06/17
AG-DN950,125 A45,125,AGBAYRIDG,"Bayridge Center Purchase of wheelchair accessible mini van",EQVH,"",62,0,06/17
AG-D001,125 D01,125,AGAPHIVEH,"Van for Seniors",EQVH,"",50,0,06/17
AG-D001,125 D01,125,AGCBURDEN,"LEONARD COVELLO Kitchen Renovation",CONS,"",400,0,06/17
