budgetline,fmsnumber,managingagency,projectid,description,commitmentcode,commitmentdescription,citycost,noncitycost,plancommdate
AG-DN100,125 A06,801,AGD SHAN,"FA - CPC Nan Shan Center Expansion",CONS,"",503000,0,06/20
AG-DN145,125 A11,801,AGDELMCOR,"Elmcor Youth and Adult Activities",CONS,"SITE DEV. AND OFFSITE INF",510000,0,06/20
AG-DN169,125 A13,125,AGD-GLENR,"Glenridge Senior Center",EQFN,"",118000,0,06/17
AG-DN184,125 A14,850,AGDNHHOME,"The Hebrew Home for the Aged At Riverdale",EQFN,"",1065000,0,06/18
AG-DN184,125 A14,850,AGDNRIVER,"The Hebrew Home for the Aged at Riverdale - I/O",EQFN,"",192000,0,06/17
AG-DN184,125 A14,850,AGDN10SEC,"Hebrew Home for the Aged at Riverdale - SECURITY UPGRAD",EQFN,"",513000,0,06/17
AG-DN184,125 A14,850,AGDN10SEC,"Hebrew Home for the Aged at Riverdale - SECURITY UPGRAD",EQFN,"",500000,0,06/18
AG-DN184,125 A14,850,HEBREW,"Hebrew Home for the Aged at Riverdale Weinberg Center Van",EQVH,"",17000,0,06/20
AG-DN184,125 A14,850,HLDNHEBEQ,"Hebrew Home for the Aged at Riverdale Equipment",EQFN,"",84000,0,06/18
AG-DN216,125 A20,850,AGDJCCCON,"JCC of Greater Coney Island Senior Center Computer System",EQFN,"",39000,0,06/17
AG-DN216,125 A20,850,AGDNJEWSH,"Jewish Community Council of Greater Coney Island - I.O",EQFN,"",80000,0,06/17
AG-DN216,125 A20,850,AGPWDJCC,"JCC of Coney Island Computers",EQFN,"",331000,0,06/17
AG-DN216,125 A20,850,AGPWDJCC,"JCC of Coney Island Computers",IFSP,"",8000,0,06/17
AG-DN235,125 A21,801,AGD-LENOX,"Lenox Hill Neighborhood Association",CONS,"",1100000,0,06/19
AG-DN235,125 A21,801,AGD-LENOX,"Lenox Hill Neighborhood Association",CONS,"",1321000,0,06/19
AG-DN235,125 A21,801,AGD-LENOX,"Lenox Hill Neighborhood Association",CONS,"",518000,0,06/19
AG-DN235,125 A21,801,AGD-LENOX,"Lenox Hill Neighborhood Association",CONS,"",657000,0,06/17
AG-DN235,125 A21,801,LENOX,"FA - Lenox Hill Neighborhood House 13-162818-U8500",CONS,"SITE DEV. AND OFFSITE INF",217000,0,06/17
AG-DN235,125 A21,801,LENOXCTR,"FA - Lenox Hill - The Center, 343 E70th St",CONS,"SITE DEV. AND OFFSITE INF",17000,0,06/17
AG-DN262,125 A22,850,AGDNMETRA,"METROPOLITAN COUNCIL ON JEWISH POVERTY - INITIAL OUTFITTING",EQFN,"",2097000,0,06/18
AG-DN262,125 A22,850,AGDNMETRC,"METROPOLITAN COUNCIL ON JEWISH POVERTY - TRACKING SYSTEM",EQFN,"",257000,0,06/19
AG-DN262,125 A22,850,AGDNMETRO,"METROPOLITAN COUNCIL ON JEWISH POVERTY - VEHICLE PURCHASE",EQVH,"",282000,0,06/17
AG-DN262,125 A22,850,AGDNMETRY,"METROPOLITAN COUNCIL ON JEWISH POVERTY - IT INFRASTRUCTURE",EQFN,"",164000,0,06/17
AG-DN262,125 A22,850,AGDNMETRY,"METROPOLITAN COUNCIL ON JEWISH POVERTY - IT INFRASTRUCTURE",EQFN,"",810000,0,06/18
AG-DN334,125 A27,125,AGPRESVEH,"Presbyterian City Island purchase of a handicapped mini bus",EQFN,"",50000,0,06/17
AG-DN380,125 A26,125,AGSNAPVEH,"Service for Now Adult Person, Inc. 2 Vehicles",EQFN,"",126000,0,06/17
AG-DN380,125 A26,801,AGDSNAP2,"Services Now for Adult Persons (SNAP) Adjustment to cover",CONS,"SITE DEV. AND OFFSITE INF",112000,0,06/17
