managingagency,projectid,description,citycost,noncitycost,totalcost
40,SCA17,SCA17,2938982000,439959000,3378941000
40,SCA20,SCA20,2165569000,0,2165569000
40,SCA22,SCA22,2165569000,0,2165569000
40,SCA21,SCA21,1421489000,744080000,2165569000
40,SCA24,SCA24,1603119000,562450000,2165569000
40,SCA23,SCA23,2165569000,0,2165569000
856,ONE-NYC,ONE NYC - ENERGY EFFICIENCY FUNDING,2070365000,0,2070365000
806,SRLCLIP,SRO LOANS PROGRAM - VACANT BUILDINGS REHAB,1426643000,268916000,1695559000
841,HBKBQE,Rehabilitation of BQE (I-278) from Sands St. to Atlantic Ave,1547627000,0,1547627000
826,KENS-EAST,KENSICO-EASTVIEW CONNECTION TUNNEL,1276000000,0,1276000000
819,SANDNEW,MISC CORPORATE-WIDE RECONSTRUCTION AS A RESULT OF SANDY,1183000,1209664000,1210847000
806,HAM16MRVR,ROOF WORK TO PREVENT MOLD AT VARIOUS DEVELOPMENTS,1200001000,0,1200001000
40,SCA25,SCA25,1174000000,0,1174000000
40,SCA27,SCA27,1174000000,0,1174000000
40,SCA26,SCA26,1174000000,0,1174000000
856,CO264MISC,VARIOUS COURT FACILITIES- REHABILITATION,1017159000,0,1017159000
826,LTCP2015,CITY-WIDE LONG TERM CONTROL PLAN FOR CSO ABATEMENT,886000000,0,886000000
841,HW34907,IN-HOUSE RESURFACING - CREWS&OTHER NON-ASPHALT OTPS,811133000,0,811133000
826,CS-GC-SFS,CONSTRUCTION OF GOWANUS CSO RETENTION FAC SUPERFUND SITE,772300000,0,772300000
111,CITYTECH,Technology Upgrade,746993000,0,746993000
826,SEQCB1213,SEWER BUILD-OUT FOR S.E. QUEENS,740240000,0,740240000
826,C540,Completion of CT3 Stage 2 B/Q Leg & Bklyn Downtake Inte,718212000,0,718212000
801,INFRANEIG,Neighborhood Fund,630821000,0,630821000
819,HOPROJCTS,MISCELLANEOUS CONSTRUCTION PROJECTS AND EQUIPMENT PURCHASES,522885000,0,522885000
841,HW349LUM,IN-HOUSE RESURFACING LUMP SUM - ASPHALT,488654000,25705000,514359000
801,INFRAHOUS,Housing Fund,505772000,0,505772000
850,C114NEWRI,NEW RIKERS ISLAND FACILITY,501097000,0,501097000
826,CAT-213,ASHOKAN RESERVOIR/OLIVE BRIDGE DAM & UPPER/LOWER OUTLET& S,497739000,0,497739000
841,HWPL20006,PRIOR NOTICE SIDEWALK(SIM),394328000,74443000,468771000
856,PLANYC,Energy Efficiency Projects (PlaNYC),460693000,0,460693000
841,HBC1301,REHAB OF DOT BRIDGES CITYWIDE,451922000,0,451922000
56,PO005PROP,NEW PROPERTY CLERK FACILITY,435000000,0,435000000
841,HBC1070,BRIDGE PROTECTIVE COATING,426896000,1200000,428096000
819,HO410AMB2,PROCURE AND OUTFIT FDNY EMS AMBULANCES,420781000,3560000,424341000
826,C519,MODIFICATION OF CHAMBERS AT HILLVIEW,402650000,0,402650000
998,TRACK95,IFA TRACKWORK,385000000,0,385000000
841,HWPRREHAB,Pedestrian Ramps Rehabilitation - Lump Sum,377664000,0,377664000
826,NR-STRUCT,STRUCTURAL IMPROVEMENTS AT NORTH RIVER WPCP,360000000,0,360000000
841,HBX1148B,SHORE ROAD BRIDGE / HUTCHINSON RIVER 2-240200,152103000,205000000,357103000
841,BRC231F,QUEENSBORO BRIDGE #10 OVER EAST RIVER,331451000,21600000,353051000
841,HBMA23216,Promenade over FDR E81st - 90th St Bin 2232167,312992000,0,312992000
841,BRC253D,WILLIAMSBURG BRIDGE MISC REPAIRS AND PAINTING FY20,308000000,0,308000000
111,PU16PROJ1,CITYWIDE EDP PROJECTS - Out-Year Planning,304215000,0,304215000
841,HWCW-VZSR,Vision Zero Street Reconstuction,304058000,0,304058000
826,DOT-WM-SP,MAIN REPLACEMENTS IN CONNECTION WITH DOT PRIORITY PROJECTS,291558000,0,291558000
826,WM-EMRNGY,"EMERGENCY CONTRACTS FOR WATER MAINS, CITYWIDE",291019000,0,291019000
841,HBX1131,BRUCKNER EXP / WESTCHESTER CREEK 1-066510,121417000,164199000,285616000
826,CAT-178,REPLACEMENT OF DIVIDING WEIR BRIDGE,280500000,0,280500000
841,BR10YR15,Waterway Bridges Ten Year Plan,279698000,0,279698000
841,BRC270D,BROOKLYN BRIDGE REHABILITATION OF APPOACH ARCHES FY19,278190000,0,278190000
56,PO79ROD,NEW FIREARMS TRAINING FACILITY,274630000,0,274630000
856,CO-LL5FS,VARIOUS PUBLIC BUILDINGS - COURTS FIRE SUPPRESSION,254161000,0,254161000
71,HH-MRBU,MAJOR REPAIRS AND BLD UPGRADES,251070000,0,251070000
841,HWCWREC,CITYWIDE RECONSTRUCTION OF STREETS,202567000,46677000,249244000
40,PLANYC400,PlaNYC 2030 REPLACEMENT FUEL BURNERS IN PUBLIC SCHOOLS,217677000,30077000,247754000
841,SEQUEENS,South East Queens Initiative,247214000,0,247214000
827,S248-423,Bronx 9/10/11 Garage,245082000,0,245082000
826,HP-238-L,REPLACEMENT OF THE DIGESTER @ THE HUNTS POINT WWTP,243000000,0,243000000
826,GI-OTHER,GI - OTHER AGENCY PROJECTS - GREEN INFRASTRUCTURE,235000000,0,235000000
826,NR-COGEN,NORTH RIVER WWTP COGENERATION AND ELECTRIFICATION,226620000,0,226620000
826,SE-EMRNGY,"EMERGENCY CONTRACTS FOR SEWERS, CITYWIDE",225000000,0,225000000
111,CITYADMIN,Citywide Administrative Systems,224456000,0,224456000
111,DP1PROJ1,DOITT'S EDP Projects - Out-Year Planning,216642000,0,216642000
72,C-75MISC,MISC INFRASTRUCTURE RECON,210421000,0,210421000
816,HL82VCLIN,EMERGENCY FUNDING FOR VARIOUS CLINICS,208953000,0,208953000
841,HBR10COMP,TEN YR COMP,208032000,0,208032000
819,02201322,INTEGRATED CLINICAL INFO SYSTEM (ICIS) PROGRAM: EMR UPGRA,206967000,0,206967000
826,CAT-OPTIM,To Increase the Capacity of Upper Catskill Aqueduct,206000000,0,206000000
801,SWBXINFRA,Southwest Bronx Infrastructure Improvements,194300000,0,194300000
42,CA091-096,CUNYwide Rehab,188550000,1352000,189902000
57,F175FHREN,FIREHOUSE RENOVATIONS,187515000,0,187515000
841,HWQ100SBS,Woodhaven Blvd SBS,77599000,107679000,185278000
57,F109-PUM,PUMPERS,179439000,0,179439000
841,HBKBQE,Rehabilitation of BQE (I-278) from Sands St. to Atlantic Av,171762000,6799000,178561000
826,EASTSIDRS,EAST SIDE COASTAL RESILIENCY PROJECT AT EAST RIVER PARK,178000000,0,178000000
841,HBM1147,BROADWAY BRIDGE/HARLEM RIVER (BIN 2-24013-7),102146000,75620000,177766000
841,HWPRINSTL,Pedestrian Ramps Installation - Lump Sum,176711000,0,176711000
801,NRELUMP,Lump Sum - Asset Management,173568000,0,173568000
827,S1292027,EQUIPMENT REPLACEMENT IN FY 2027,173446000,0,173446000
827,S1292026,EQUIPMENT REPLACEMENT IN FY 2026,170371000,0,170371000
72,C114ADOL,ADOLESCENT FACILITY,170000000,0,170000000
827,S1292025,EQUIPMENT REPLACEMENT FY2025,168237000,0,168237000
